"year","season","region","cumulative_gold_medals","cumulative_silver_medals","cumulative_bronze_medals","cumulative_medals"
1924,"Summer","Uruguay",1,0,0,1
1924,"Winter","Norway",4,7,6,17
1924,"Winter","Finland",4,4,3,11
1924,"Winter","UK",2,1,2,5
1924,"Winter","USA",1,2,1,4
1924,"Winter","Austria",2,1,0,3
1924,"Winter","Switzerland",2,0,1,3
1924,"Winter","France",0,0,3,3
1924,"Winter","Sweden",1,1,0,2
1924,"Winter","Nepal",1,0,0,1
1924,"Winter","India",1,0,0,1
1924,"Winter","Canada",1,0,0,1
1924,"Winter","Australia",1,0,0,1
1924,"Winter","Belgium",0,0,1,1
1928,"Summer","USA",276,208,202,686
1928,"Summer","Germany",39,46,46,131
1928,"Summer","France",91,113,100,304
1928,"Summer","Finland",49,41,41,131
1928,"Summer","Sweden",65,74,85,224
1928,"Summer","Netherlands",17,16,27,60
1928,"Summer","UK",124,134,107,365
1928,"Summer","Italy",46,26,22,94
1928,"Summer","Switzerland",29,23,25,77
1928,"Summer","Canada",19,17,26,62
1928,"Summer","Hungary",20,24,18,62
1928,"Summer","Denmark",15,32,22,69
1928,"Summer","Czech Republic",3,10,15,28
1928,"Summer","Poland",2,2,5,9
1928,"Summer","Argentina",4,6,3,13
1928,"Summer","Serbia",3,1,3,7
1928,"Summer","Estonia",4,4,6,14
1928,"Summer","Japan",2,4,2,8
1928,"Summer","Austria",10,13,14,37
1928,"Summer","Australia",12,12,17,41
1928,"Summer","Egypt",2,1,1,4
1928,"Summer","Norway",28,21,24,73
1928,"Summer","Belgium",30,35,32,97
1928,"Summer","South Africa",10,8,6,24
1928,"Summer","Spain",2,2,0,4
1928,"Summer","Portugal",0,0,2,2
1928,"Summer","Uruguay",2,0,0,2
1928,"Summer","India",1,2,0,3
1928,"Summer","Luxembourg",3,2,0,5
1928,"Summer","Chile",0,1,0,1
1928,"Summer","Ireland",1,1,1,3
1928,"Summer","New Zealand",2,0,2,4
1928,"Summer","Haiti",1,1,1,3
1928,"Summer","Philippines",0,0,1,1
1928,"Winter","Norway",10,11,11,32
1928,"Winter","USA",3,4,3,10
1928,"Winter","Sweden",3,3,1,7
1928,"Winter","Austria",2,4,1,7
1928,"Winter","Finland",6,5,4,15
1928,"Winter","UK",2,1,3,6
1928,"Winter","Switzerland",2,0,2,4
1928,"Winter","Czech Republic",0,0,1,1
1928,"Winter","France",1,0,3,4
1928,"Winter","Canada",2,0,0,2
1928,"Winter","Belgium",0,0,2,2
1928,"Winter","Germany",0,0,1,1
1932,"Summer","USA",320,244,232,796
1932,"Summer","Italy",58,38,34,130
1932,"Summer","Finland",54,49,53,156
1932,"Summer","Germany",44,58,53,155
1932,"Summer","Sweden",75,79,94,248
1932,"Summer","France",102,118,104,324
1932,"Summer","Japan",9,11,6,26
1932,"Summer","UK",129,141,112,382
1932,"Summer","Hungary",26,29,23,78
1932,"Summer","Canada",21,22,35,78
1932,"Summer","Poland",5,4,9,18
1932,"Summer","Netherlands",19,21,28,68
1932,"Summer","Denmark",15,37,25,77
1932,"Summer","Czech Republic",4,13,17,34
1932,"Summer","Austria",11,14,17,42
1932,"Summer","South Africa",12,8,9,29
1932,"Summer","Australia",15,13,18,46
1932,"Summer","Argentina",7,7,3,17
1932,"Summer","Philippines",0,0,4,4
1932,"Summer","Ireland",3,1,1,5
1932,"Summer","Mexico",0,2,1,3
1932,"Summer","Belgium",30,35,33,98
1932,"Summer","Switzerland",29,24,25,78
1932,"Summer","India",2,2,0,4
1932,"Summer","Spain",2,2,1,5
1932,"Summer","Uruguay",2,0,1,3
1932,"Summer","Latvia",0,1,0,1
1932,"Summer","New Zealand",2,1,2,5
1932,"Winter","USA",9,8,5,22
1932,"Winter","Norway",13,15,14,42
1932,"Winter","Canada",3,1,5,9
1932,"Winter","Finland",7,6,5,18
1932,"Winter","Sweden",4,5,1,10
1932,"Winter","Austria",3,5,1,9
1932,"Winter","Germany",0,0,3,3
1932,"Winter","Hungary",0,0,1,1
1932,"Winter","France",2,0,3,5
1932,"Winter","Switzerland",2,1,2,5
1936,"Summer","Germany",82,89,85,256
1936,"Summer","USA",344,265,244,853
1936,"Summer","Italy",67,51,39,157
1936,"Summer","Sweden",81,84,104,269
1936,"Summer","Finland",62,55,59,176
1936,"Summer","Japan",15,15,16,46
1936,"Summer","France",109,124,110,343
1936,"Summer","Switzerland",33,33,30,96
1936,"Summer","Austria",16,21,22,59
1936,"Summer","Netherlands",25,25,35,85
1936,"Summer","Hungary",36,30,28,94
1936,"Summer","UK",133,148,115,396
1936,"Summer","Canada",22,25,40,87
1936,"Summer","Poland",5,8,14,27
1936,"Summer","Czech Republic",7,18,18,43
1936,"Summer","Argentina",9,9,6,24
1936,"Summer","Estonia",6,6,9,21
1936,"Summer","Norway",29,24,26,79
1936,"Summer","Egypt",4,2,3,9
1936,"Summer","Denmark",15,39,28,82
1936,"Summer","Mexico",0,2,4,6
1936,"Summer","Belgium",30,35,36,101
1936,"Summer","Latvia",0,2,1,3
1936,"Summer","Turkey",1,0,1,2
1936,"Summer","India",3,2,0,5
1936,"Summer","Philippines",0,0,5,5
1936,"Summer","Romania",0,1,1,2
1936,"Summer","Australia",15,13,19,47
1936,"Summer","New Zealand",3,1,2,6
1936,"Summer","South Africa",12,9,9,30
1936,"Summer","Serbia",3,2,3,8
1936,"Summer","Portugal",0,0,3,3
1936,"Winter","Norway",20,20,17,57
1936,"Winter","Sweden",6,7,4,17
1936,"Winter","Germany",3,3,3,9
1936,"Winter","Finland",8,8,8,24
1936,"Winter","USA",10,8,8,26
1936,"Winter","Austria",4,6,3,13
1936,"Winter","Switzerland",3,3,2,8
1936,"Winter","UK",3,2,4,9
1936,"Winter","Canada",3,2,5,10
1936,"Winter","Hungary",0,0,2,2
1936,"Winter","France",2,0,4,6
1948,"Summer","USA",382,292,263,937
1948,"Summer","Sweden",98,95,122,315
1948,"Summer","France",120,130,125,375
1948,"Summer","Italy",76,63,49,188
1948,"Summer","Hungary",46,35,40,121
1948,"Summer","UK",137,164,122,423
1948,"Summer","Denmark",20,47,37,104
1948,"Summer","Switzerland",38,45,35,118
1948,"Summer","Finland",70,63,65,198
1948,"Summer","Netherlands",30,27,44,101
1948,"Summer","Australia",17,19,24,60
1948,"Summer","Turkey",7,4,3,14
1948,"Summer","Czech Republic",13,20,21,54
1948,"Summer","Austria",18,23,26,67
1948,"Summer","Belgium",32,37,39,108
1948,"Summer","Argentina",12,12,7,31
1948,"Summer","Norway",30,27,29,86
1948,"Summer","South Africa",14,11,11,36
1948,"Summer","Egypt",6,4,4,14
1948,"Summer","Mexico",2,3,6,11
1948,"Summer","Canada",22,27,42,91
1948,"Summer","Jamaica",1,2,0,3
1948,"Summer","Panama",0,0,2,2
1948,"Summer","Portugal",0,1,4,5
1948,"Summer","Serbia",3,4,3,10
1948,"Summer","Poland",6,8,15,29
1948,"Summer","South Korea",0,0,2,2
1948,"Summer","Uruguay",2,1,2,5
1948,"Summer","Puerto Rico",0,0,1,1
1948,"Summer","Spain",2,3,1,6
1948,"Summer","Sri Lanka",0,1,0,1
1948,"Summer","India",4,2,0,6
1948,"Summer","Peru",1,0,0,1
1948,"Summer","Brazil",1,1,2,4
1948,"Summer","Trinidad",0,1,0,1
1948,"Summer","Ireland",3,1,2,6
1948,"Summer","Iran",0,0,1,1
1948,"Summer","Cuba",5,2,0,7
1948,"Winter","Sweden",10,10,7,27
1948,"Winter","Norway",24,23,20,67
1948,"Winter","Switzerland",6,7,4,17
1948,"Winter","Austria",5,9,7,21
1948,"Winter","USA",13,11,10,34
1948,"Winter","Finland",9,11,10,30
1948,"Winter","France",4,1,6,11
1948,"Winter","Canada",5,2,6,13
1948,"Winter","Belgium",1,1,2,4
1948,"Winter","UK",3,2,6,11
1948,"Winter","Hungary",0,1,2,3
1948,"Winter","Italy",1,0,0,1
1948,"Winter","Czech Republic",0,1,1,2
1952,"Summer","USA",422,311,280,1013
1952,"Summer","Russia",23,33,22,78
1952,"Summer","Hungary",62,45,56,163
1952,"Summer","Sweden",110,108,132,350
1952,"Summer","Germany",82,96,102,280
1952,"Summer","Finland",76,66,78,220
1952,"Summer","Italy",84,72,53,209
1952,"Summer","France",126,136,131,393
1952,"Summer","Switzerland",40,51,41,132
1952,"Summer","Czech Republic",20,23,24,67
1952,"Summer","UK",138,166,130,434
1952,"Summer","Australia",23,21,27,71
1952,"Summer","South Africa",16,15,15,46
1952,"Summer","Japan",16,21,17,54
1952,"Summer","Iran",0,3,5,8
1952,"Summer","Denmark",22,48,40,110
1952,"Summer","Jamaica",3,5,0,8
1952,"Summer","Netherlands",30,32,44,106
1952,"Summer","Argentina",13,14,9,36
1952,"Summer","Norway",33,29,29,91
1952,"Summer","Poland",7,10,16,33
1952,"Summer","Romania",1,2,3,6
1952,"Summer","Belgium",34,39,39,112
1952,"Summer","Brazil",2,1,4,7
1952,"Summer","Serbia",4,6,3,13
1952,"Summer","Canada",23,29,42,94
1952,"Summer","Turkey",9,4,4,17
1952,"Summer","New Zealand",4,1,4,9
1952,"Summer","Chile",0,3,0,3
1952,"Summer","Austria",18,24,27,69
1952,"Summer","India",5,2,1,8
1952,"Summer","Lebanon",0,1,1,2
1952,"Summer","South Korea",0,0,4,4
1952,"Summer","Uruguay",2,1,4,7
1952,"Summer","Trinidad",0,1,2,3
1952,"Summer","Bulgaria",0,0,1,1
1952,"Summer","Egypt",6,4,5,15
1952,"Summer","Spain",2,4,1,7
1952,"Summer","Venezuela",0,0,1,1
1952,"Summer","Portugal",0,1,5,6
1952,"Summer","Mexico",2,4,6,12
1952,"Summer","Ireland",3,2,2,7
1952,"Summer","Luxembourg",4,2,0,6
1952,"Winter","Norway",31,26,26,83
1952,"Winter","USA",17,17,11,45
1952,"Winter","Finland",12,15,12,39
1952,"Winter","Austria",7,13,9,29
1952,"Winter","Germany",6,5,5,16
1952,"Winter","Sweden",10,10,11,31
1952,"Winter","Netherlands",0,3,0,3
1952,"Winter","Switzerland",6,7,6,19
1952,"Winter","Italy",2,0,1,3
1952,"Winter","Canada",6,2,7,15
1952,"Winter","UK",4,2,6,12
1952,"Winter","France",4,1,7,12
1952,"Winter","Hungary",0,1,3,4
1956,"Summer","Russia",60,62,54,176
1956,"Summer","USA",454,336,297,1087
1956,"Summer","Australia",36,29,41,106
1956,"Summer","Germany",88,109,109,306
1956,"Summer","Hungary",71,55,63,189
1956,"Summer","Italy",92,80,62,234
1956,"Summer","UK",144,173,141,458
1956,"Summer","Sweden",118,113,138,369
1956,"Summer","Japan",20,31,20,71
1956,"Summer","Finland",79,67,89,235
1956,"Summer","France",130,140,137,407
1956,"Summer","Romania",6,5,8,19
1956,"Summer","Poland",8,14,20,42
1956,"Summer","Turkey",12,6,6,24
1956,"Summer","Canada",25,30,45,100
1956,"Summer","Czech Republic",21,27,25,73
1956,"Summer","Bulgaria",1,3,2,6
1956,"Summer","Iran",2,5,6,13
1956,"Summer","Ireland",4,3,5,12
1956,"Summer","Denmark",23,50,41,114
1956,"Summer","Chile",0,5,2,7
1956,"Summer","South Africa",16,15,19,50
1956,"Summer","Norway",34,29,31,94
1956,"Summer","Serbia",4,9,3,16
1956,"Summer","Austria",18,24,29,71
1956,"Summer","South Korea",0,1,5,6
1956,"Summer","Mexico",3,4,7,14
1956,"Summer","Argentina",13,15,10,38
1956,"Summer","Belgium",34,41,39,114
1956,"Summer","New Zealand",6,1,4,11
1956,"Summer","India",6,2,1,9
1956,"Summer","Pakistan",0,1,0,1
1956,"Summer","Greece",21,35,34,90
1956,"Summer","Iceland",0,1,0,1
1956,"Summer","Switzerland",40,51,42,133
1956,"Summer","Uruguay",2,1,5,8
1956,"Summer","Bahamas",0,0,1,1
1956,"Summer","Brazil",3,1,4,8
1956,"Winter","Russia",6,3,6,15
1956,"Winter","Austria",11,16,13,40
1956,"Winter","Sweden",12,14,15,41
1956,"Winter","Finland",15,18,13,46
1956,"Winter","USA",19,20,13,52
1956,"Winter","Switzerland",9,9,7,25
1956,"Winter","Norway",33,27,27,87
1956,"Winter","Italy",3,2,1,6
1956,"Winter","Canada",6,3,9,18
1956,"Winter","Germany",7,5,6,18
1956,"Winter","Hungary",0,1,4,5
1956,"Winter","Japan",0,1,0,1
1956,"Winter","Poland",0,0,1,1
1960,"Summer","Russia",103,91,85,279
1960,"Summer","USA",488,357,313,1158
1960,"Summer","Germany",100,128,120,348
1960,"Summer","Italy",105,90,75,270
1960,"Summer","Australia",44,37,47,128
1960,"Summer","Poland",12,20,31,63
1960,"Summer","Hungary",77,63,70,210
1960,"Summer","UK",146,179,153,478
1960,"Summer","Japan",24,38,27,89
1960,"Summer","Romania",9,6,14,29
1960,"Summer","Turkey",19,8,6,33
1960,"Summer","Czech Republic",24,29,28,81
1960,"Summer","Bulgaria",2,6,5,13
1960,"Summer","Denmark",25,53,42,120
1960,"Summer","Switzerland",40,54,45,139
1960,"Summer","Sweden",119,115,141,375
1960,"Summer","France",130,142,140,412
1960,"Summer","Finland",80,68,92,240
1960,"Summer","Belgium",34,43,41,118
1960,"Summer","Iran",2,6,9,17
1960,"Summer","South Africa",16,16,21,53
1960,"Summer","New Zealand",8,1,5,14
1960,"Summer","Netherlands",30,33,46,109
1960,"Summer","Pakistan",1,1,1,3
1960,"Summer","Serbia",5,10,3,18
1960,"Summer","Trinidad",0,1,4,5
1960,"Summer","Syria",0,1,1,2
1960,"Summer","Brazil",3,1,6,10
1960,"Summer","Argentina",13,16,11,40
1960,"Summer","Austria",19,25,29,73
1960,"Summer","Mexico",3,4,8,15
1960,"Summer","Ghana",0,1,0,1
1960,"Summer","Ethiopia",1,0,0,1
1960,"Summer","Morocco",0,1,0,1
1960,"Summer","Greece",22,35,34,91
1960,"Summer","Norway",35,29,31,95
1960,"Summer","Portugal",0,2,5,7
1960,"Summer","Singapore",0,1,0,1
1960,"Summer","Iraq",0,0,1,1
1960,"Summer","Canada",25,31,45,101
1960,"Summer","Spain",2,4,2,8
1960,"Summer","Venezuela",0,0,2,2
1960,"Summer","India",6,3,1,10
1960,"Summer","Taiwan",0,1,0,1
1960,"Winter","Russia",13,8,15,36
1960,"Winter","USA",22,24,16,62
1960,"Winter","Finland",17,21,16,54
1960,"Winter","Germany",11,8,7,26
1960,"Winter","Sweden",15,16,17,48
1960,"Winter","Austria",12,18,16,46
1960,"Winter","Norway",36,30,27,93
1960,"Winter","Canada",8,4,10,22
1960,"Winter","France",5,1,9,15
1960,"Winter","Poland",0,1,2,3
1960,"Winter","Netherlands",0,4,1,5
1960,"Winter","Switzerland",11,9,7,27
1960,"Winter","Czech Republic",0,2,1,3
1960,"Winter","Italy",3,2,2,7
1964,"Summer","Russia",133,121,118,372
1964,"Summer","USA",524,383,341,1248
1964,"Summer","Germany",110,150,138,398
1964,"Summer","Japan",40,43,35,118
1964,"Summer","Italy",115,100,82,297
1964,"Summer","Poland",19,26,41,86
1964,"Summer","Hungary",87,70,75,232
1964,"Summer","UK",150,191,155,496
1964,"Summer","Australia",50,39,57,146
1964,"Summer","France",131,150,146,427
1964,"Summer","Czech Republic",29,35,31,95
1964,"Summer","Romania",11,10,20,41
1964,"Summer","Bulgaria",5,11,7,23
1964,"Summer","Netherlands",32,37,50,119
1964,"Summer","Sweden",121,117,145,383
1964,"Summer","Denmark",27,54,45,126
1964,"Summer","Turkey",21,11,7,39
1964,"Summer","New Zealand",11,1,7,19
1964,"Summer","Finland",83,68,94,245
1964,"Summer","Serbia",7,11,5,23
1964,"Summer","Canada",26,33,46,105
1964,"Summer","Switzerland",41,56,46,143
1964,"Summer","Trinidad",0,2,6,8
1964,"Summer","South Korea",0,3,6,9
1964,"Summer","Belgium",36,43,42,121
1964,"Summer","Tunisia",0,1,1,2
1964,"Summer","Iran",2,6,11,19
1964,"Summer","India",7,3,1,11
1964,"Summer","Argentina",13,17,11,41
1964,"Summer","Uruguay",2,1,6,9
1964,"Summer","Brazil",3,1,7,11
1964,"Summer","Cuba",5,3,0,8
1964,"Summer","Bahamas",1,0,1,2
1964,"Summer","Pakistan",1,2,1,4
1964,"Summer","Mexico",3,4,9,16
1964,"Summer","Kenya",0,0,1,1
1964,"Summer","Ireland",4,3,6,13
1964,"Summer","Nigeria",0,0,1,1
1964,"Summer","Philippines",0,1,5,6
1964,"Summer","Ghana",0,1,1,2
1964,"Summer","Ethiopia",2,0,0,2
1964,"Winter","Russia",24,15,21,60
1964,"Winter","Norway",39,36,33,108
1964,"Winter","Austria",16,23,19,58
1964,"Winter","Finland",20,25,19,64
1964,"Winter","Germany",14,11,10,35
1964,"Winter","USA",23,26,20,69
1964,"Winter","Sweden",18,19,18,55
1964,"Winter","France",8,5,9,22
1964,"Winter","Italy",3,3,5,11
1964,"Winter","Canada",9,5,11,25
1964,"Winter","Netherlands",1,5,1,7
1964,"Winter","UK",5,2,6,13
1964,"Winter","Czech Republic",0,2,2,4
1964,"Winter","North Korea",0,1,0,1
1968,"Summer","USA",569,411,375,1355
1968,"Summer","Russia",162,153,148,463
1968,"Summer","Germany",124,170,155,449
1968,"Summer","Hungary",97,80,87,264
1968,"Summer","Japan",51,50,42,143
1968,"Summer","Poland",24,28,52,104
1968,"Summer","Australia",55,46,62,163
1968,"Summer","Italy",118,104,91,313
1968,"Summer","France",138,153,151,442
1968,"Summer","Romania",15,16,25,56
